index,amenity college,amenity school,amenity university,building school,building university,craft,amenity kindergarten,building retail,amenity marketplace,shop bakery,shop beverages,shop butcher,shop convenience,shop greengrocer,shop department_store,shop mall,shop supermarket,shop clothes,shop shoes,shop garden_centre,shop doityourself,shop hardware,amenity clinic,amenity doctors,amenity pharmacy,amenity post_office,building hospital,amenity bar,amenity biergarten,amenity cafe,amenity pub,amenity arts_centre,amenity cinema,amenity community_centre,amenity events_venue,amenity nightclub,amenity theatre,amenity public_bath,leisure beach_resort,leisure marina,leisure nature_reserve,leisure park,leisure sports_centre,leisure stadium,leisure swimming_pool,leisure water_park,tourism aquarium,tourism attraction,tourism camp_site,tourism caravan_site,tourism hostel,tourism hotel,tourism theme_park,tourism zoo,water lake
93710148,0,1,0,0,0,0,1,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0
93710150,0,2,0,0,0,14,4,1,0,4,1,4,2,0,0,0,1,0,0,1,1,0,0,2,1,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,2,0,0,1,0,0,0
93710151,1,7,2,17,0,10,5,13,0,6,3,2,1,0,0,0,8,2,0,1,4,0,2,7,5,1,1,2,4,5,4,0,1,2,0,1,1,0,0,0,1,11,2,4,6,1,0,2,0,1,0,3,0,3,1
93710154,0,2,0,4,0,0,2,1,0,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0
93710156,0,2,0,11,0,6,3,1,0,3,0,2,1,0,0,0,4,0,0,1,1,0,0,1,1,2,0,1,0,3,0,0,1,2,0,0,0,0,0,0,0,4,4,0,4,1,0,1,1,0,0,2,0,0,1
93715301,0,2,0,1,0,6,3,16,0,3,0,3,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,1,2,0,3,0,0,1,0,0,0,0,0,0,0,2,6,0,1,0,0,2,0,0,0,1,0,1,0
93715302,0,3,0,4,0,1,1,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,3,1,0,3,1,0,0,6,0,0,6
93715303,0,3,0,1,0,8,2,4,0,5,2,3,1,0,0,0,1,0,0,0,0,1,0,2,0,1,0,1,3,1,7,2,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,4,1,0,0,3,0,0,0
93715304,0,2,0,4,0,16,3,0,0,3,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,4,0,3,0,0,1,0,0,0,2,0,0,0
93719452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93720112,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
93720113,0,1,0,2,0,2,1,2,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2,0,0,0,4,0,0,0
93720115,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,1,1,0,0,1,0,0,0
93720116,1,14,0,35,0,20,8,13,1,15,4,8,6,0,0,0,10,20,7,3,4,3,0,7,8,2,13,0,1,11,5,0,1,6,0,1,1,0,0,0,1,8,18,0,9,1,0,4,2,0,0,3,0,0,22
93720117,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
93720124,0,2,0,0,0,1,1,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
93720126,0,4,0,0,0,5,3,3,0,6,3,5,1,0,0,0,7,6,5,1,1,0,0,2,2,1,1,0,0,9,2,0,0,0,0,0,3,0,0,0,1,3,4,0,2,1,1,3,2,0,2,16,0,1,0
93720130,0,1,0,1,0,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,5,0,1,0
93720135,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
93720137,0,5,1,6,0,2,1,13,0,2,4,1,0,0,1,1,8,3,1,1,2,0,0,0,3,3,1,1,1,4,3,0,1,0,0,0,0,0,0,0,0,1,0,1,3,1,0,2,3,0,0,6,0,0,0
93720138,0,1,0,1,0,1,1,3,0,2,0,1,1,0,1,1,1,1,2,0,0,1,0,2,1,1,0,0,0,6,2,0,0,0,0,0,0,0,0,0,2,4,3,0,8,1,0,1,1,0,0,10,0,0,0
93720143,0,1,0,1,0,5,1,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
93720144,0,2,0,1,0,3,1,0,0,2,0,2,1,0,0,0,2,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,4,0,1,0,6,0,0,1
93720146,0,1,0,2,0,0,1,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,4
93720151,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0
93720153,1,5,0,5,0,6,5,3,2,4,3,5,2,0,1,3,7,8,2,1,2,0,2,12,2,2,1,1,3,5,3,3,0,2,2,0,2,1,0,1,4,5,14,2,4,2,0,15,4,1,1,5,0,1,0
93720154,0,1,0,0,0,1,1,0,0,4,0,1,0,0,0,0,2,1,0,0,2,0,0,2,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,2,0,0,0,3,0,0,1
93720155,0,1,0,1,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,3
93720157,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93720158,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
93720164,0,0,0,0,0,3,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,3,1,0,0,0,0,0,2,1,0,0
93720168,0,1,0,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93720171,0,8,0,3,0,5,5,1,0,3,1,2,1,0,0,0,4,3,1,0,2,0,0,1,2,1,0,2,1,4,0,0,0,0,0,0,0,0,1,0,0,12,2,0,0,1,0,4,1,0,1,7,0,0,0
93720175,0,2,0,3,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
93720177,0,0,0,0,0,0,2,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
93720178,0,1,0,0,0,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,23,0,1,0,8,0,1,1
93725308,0,2,0,0,0,0,0,2,0,2,0,2,0,0,0,0,3,0,0,0,0,0,0,1,1,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0
93725310,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,3,1,0,3,0,0,0,2,0,0,2
93725312,0,1,0,1,0,0,1,1,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,1,1,0,0,0
93725313,0,3,0,1,0,0,3,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,1,0,0,0
93725317,0,2,0,2,0,1,2,1,0,3,1,2,1,0,0,0,2,6,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
93725318,0,4,0,5,0,4,1,1,0,3,1,4,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,4,2,0,4,1,0,9,0,0,1,2,0,0,1
93730112,1,4,0,2,0,22,6,4,0,6,2,3,0,1,0,0,3,1,1,0,1,0,0,1,2,1,2,0,2,5,1,0,1,7,0,0,1,0,0,2,1,4,4,0,6,1,0,10,1,1,0,8,0,0,0
93730113,0,2,0,2,0,22,6,2,1,4,3,3,0,0,0,0,3,1,0,0,2,0,0,4,1,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,9,0,4,0,0,10,1,0,0,5,0,0,1
93730115,0,1,0,1,0,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0
93730119,0,1,0,2,0,5,1,0,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,1,0,2,1,0,0,1,0,0,0
93730121,0,0,0,1,0,7,4,3,0,3,4,3,1,0,0,0,3,1,1,0,0,0,0,0,1,3,0,0,2,5,3,0,0,1,0,0,0,0,0,1,0,4,5,1,8,0,0,4,1,1,0,7,0,1,0
93730126,0,1,0,1,0,6,2,4,0,4,2,4,0,0,0,0,5,7,4,0,1,0,0,2,3,1,0,0,3,3,1,0,1,1,0,0,0,0,0,0,1,6,8,0,9,2,0,4,0,1,0,1,0,1,0
93730134,0,1,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0
93730140,0,1,0,3,0,0,3,4,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,1,0,0,0,0
93730143,0,1,0,1,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
93730146,0,3,0,2,0,2,4,10,0,3,2,1,1,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,2,0,4,0,0,6,1,0,0,1,0,0,0
93730147,2,26,0,54,0,28,21,41,0,27,4,13,3,4,0,2,20,41,6,1,6,0,1,19,9,4,14,5,0,23,7,2,1,3,1,2,0,0,0,0,1,21,17,0,17,1,0,14,1,2,0,11,0,0,0
93730151,0,7,0,4,1,5,2,28,0,2,3,3,1,1,0,0,6,4,0,0,1,1,0,3,2,1,6,1,2,2,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,1,0,0,1,0,0,4,0,0,0
93730155,0,2,0,2,0,1,5,1,0,4,1,2,2,0,0,0,3,2,0,0,0,0,0,1,2,3,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,3,4,0,2,0,0,0,0,0,0,1,0,0,0
93730156,0,2,0,3,0,0,2,0,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,6,3,0,1,0,0,0,0,0,0,0,0,0,1
93730160,0,1,0,2,0,0,2,11,0,3,1,2,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,1,1,0,0,1,0,0,0
93730167,0,1,0,1,0,0,0,5,0,2,0,2,3,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,1,1,1,0,0,0,1,5,4,0,7,1,0,2,1,0,0,3,0,0,0
93735321,0,1,0,3,0,0,3,1,0,6,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,5,0,3,0,0,12,2,0,0,2,0,2,1
93740111,0,2,0,1,0,6,1,3,1,4,1,2,1,0,0,0,1,1,0,1,0,0,0,9,2,5,0,0,1,1,4,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,2
93740118,0,1,0,1,0,1,1,4,0,2,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,2,0,3,0,5,0,0,5,0,0,0,2,0,2,1
93740121,0,0,0,0,0,0,0,1,0,1,2,1,2,0,0,0,2,1,1,0,0,0,0,3,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0
93740122,0,1,0,0,0,1,1,0,0,2,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,2,0,7,1,0,3,1,0,0,0,0,0,1
93740124,0,7,0,4,0,0,2,4,0,3,0,2,2,0,1,1,7,2,0,0,0,0,1,1,2,2,0,3,0,2,1,0,1,0,1,1,0,0,0,0,0,2,3,0,9,1,0,5,0,1,0,6,0,0,21
93740133,0,2,0,2,0,5,3,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0
93740134,0,1,0,1,0,0,1,1,0,2,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,22
93740137,0,1,0,1,0,1,1,1,0,3,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,1,0,5,0,0,3
93740139,0,2,0,10,0,6,3,7,0,5,4,3,5,0,0,0,5,3,0,1,0,0,0,3,2,5,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,1,5,0,1,0,0,0,1,0,0,1,0,0,0
93740162,0,4,0,6,0,3,5,3,0,7,0,4,0,0,0,0,6,5,1,0,2,1,0,3,2,1,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,7,6,0,2,1,0,1,0,1,0,6,0,1,0
93740164,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,5,1,0,0,1,1,0,1,0,0,0
93740165,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93740168,0,1,0,1,0,2,2,3,0,5,2,4,1,0,0,0,4,1,0,2,3,3,0,3,1,2,0,2,8,1,11,0,0,0,0,0,1,0,0,0,1,4,6,0,4,1,0,2,1,1,0,2,0,0,1
93745323,0,1,0,1,0,7,4,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,21,1,0,2,3,0,0,3,1,0,0,0,0,0,1,0,4,0,0,0,0,3,1,1,0,4,0,0,0
93745324,0,2,0,4,0,3,3,1,0,5,1,6,1,1,0,0,2,3,0,0,2,0,0,2,1,0,0,1,0,3,10,0,0,2,0,0,0,0,0,0,1,2,5,0,6,0,0,2,0,0,0,2,0,0,9
93745325,0,2,0,4,0,4,3,2,0,3,1,3,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,7,6,0,2,0,0,0,0,0,0,2,0,0,2
93745326,0,2,0,0,0,4,1,1,0,3,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,7,0,0,3,0,0,0,0,0,0,2,1,2,0,0,0,0,3,0,0,0,1,0,0,0
93745327,0,5,0,3,0,0,2,2,0,4,0,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,3,13,4,1,0,1,0,3,3,0,0,3,0,0,0
93745329,0,3,0,2,0,0,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0
93745330,0,1,0,1,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6,1,0,0,3,0,0,1
93745331,0,2,0,2,0,0,2,0,0,2,0,2,2,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,1,3,0,5,2,0,6,0,0,0,3,0,0,1
93749451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93749452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5
93749458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93750117,0,1,0,2,0,3,4,4,0,1,0,2,1,0,0,0,3,2,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,2,4,0,4,0,0,2,1,0,0,1,0,0,6
93750118,0,1,0,2,0,1,4,8,0,4,0,2,1,0,0,0,2,0,1,0,0,1,0,3,1,1,0,2,2,3,6,0,0,0,0,0,0,0,0,0,0,4,1,0,5,1,0,2,0,1,0,1,0,0,2
93750119,0,3,0,0,0,1,3,3,0,4,1,0,0,0,0,0,2,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0
93750143,0,2,0,1,0,3,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93750148,0,3,0,2,0,0,4,8,1,8,3,4,0,0,0,2,6,6,3,1,2,1,0,3,1,1,0,0,1,3,4,0,0,1,0,0,1,0,0,0,1,7,3,0,1,1,0,0,0,0,0,0,0,0,0
93750161,0,2,0,0,0,0,3,1,0,3,1,1,0,0,0,0,3,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0
93750165,1,6,0,6,0,1,7,10,1,3,1,3,0,2,0,0,7,0,0,0,2,0,0,2,3,2,0,0,4,3,0,0,0,2,0,0,0,0,0,0,0,1,2,0,48,0,0,0,0,0,0,1,0,0,0
